txHash,blockNumber,gasUsed,operatorGas,overhead,operatorCalls
0x96dde2f474215a8b68545c5faa2c27249c32088adb63d1577b03c958e623a369,22750269,134000,16074,0.11995522388059701,2
0xfa25282c57daf57312892b18a003208f84d0d9dfcd005cb63948963ef25bac66,22760789,158763,16074,0.10124525235728728,2
0x5c3cef9d5448e4595687b5e89797aa63aa12e1a67fa567fd36ab778d47eca828,22760835,117585,16074,0.1367011098354382,2
0xc168dc9bf80d13e215b0e036fb4c32d04768bad89779f70d408b9a36f5e44093,22761004,128720,16074,0.12487569919204475,2
0x6df6a475e272286ff4efea05faf6adb5ac5733a23219c61ef72b7a9880ae3dbd,22764700,151079,16074,0.10639466769041363,2
0x7d0749f91a005ffd4fe14132ea56825702318968a0ba21622286aeb4dbba8b44,22765030,159108,16074,0.10102571837996832,2
0xce0588cdc7f2b3da4baf5185e2e8d51c7d8ce00b9e4506ed4af906c5de07bc4c,22766942,4819279,86032,0.01785163299323405,1
0x1739c39ec35b25ebe757dd0625f0f4e737f43cf8f953b5f1f286309f7b6ee533,22769422,134012,16074,0.11994448258364923,2
0x340b15644b0462341cbbe0c547e7a2a98c64b101dba080d4292bbc7d92c5d589,22770818,134000,16074,0.11995522388059701,2
0xd13451a9d1095c866617b91acbb51877b84042f660bb9dd6e93c068bf3336a1b,22771014,134012,16074,0.11994448258364923,2
0x4b24d1c105bb8ae13131db04a8cf4b6d3bf0d41f4cc9b0fe3cc777598b5ee2b7,22771103,134000,16074,0.11995522388059701,2
0x53c447dffadaf900a3cc2e731ee3d1ee83f2a8639d6f3d91905ffb60255fefc1,22774256,158775,16074,0.10123760037789324,2
0x5841c2107709e2d8af081ba36e673a544f6ab46b53ca5060c2e8d401c534d00d,22787394,202305,16074,0.07945428931563728,2
0x92b6cc17b46d754118ae51c32e1a3069a6a3b3c0390e6c1f8207c4328006172d,22787838,134012,16074,0.11994448258364923,2
0x2784ddb961fd4a529cd4e9792667a6330bc6fa56bc696ddb27cd1ce8d616fd9e,22791547,134000,16074,0.11995522388059701,2
0x7366252c4a839fc0b5397660cdf7f93cbd5d211a645d258c8e1e7171c7106651,22794129,134000,16074,0.11995522388059701,2
0x4d5fc747ffc830fbd61260f52fb2f7b3191cf50c4dd933e620963c49ee00838a,22797393,183014,16074,0.08782934638880086,2
0x1c62558a78ee2cd12ac76cb6ec7aa1984a8685b18c0ce4ff6060376e8187be98,22798507,206875,16074,0.07769909365558912,2
0x1df7f9ca0e465a61ca54a110dc4bab7f2eb56da0cfdeeedf7e2c597622516880,22804620,206851,16074,0.07770810873527322,2
0x832c24db645b4ae473a33a0b6ee1d32e33c3d477b749c1ec84a6f2971240a450,22805056,102313,16074,0.15710613509524693,2
0xbaa7201f1ce9ff4bf7463f32b20f4ee749c0195704184ded4ea3d6653dd7cbf8,22810629,152951,16074,0.10509248059836157,2
0x635d76cf83676a67e5798d0e0ecf83b14ade10e6c7b21a79fc3463d1d4e17414,22810823,163312,16074,0.09842510042127951,2
0x8e7b79717f900d9b5f0eb6a541fb1aa30f5d7d602031d765e662c18d35551b22,22814197,138582,16074,0.11598908949214183,2
0x4c9cb5ae21576fff6d627036b7e51b33b2742c917278a653c19b27994846ee5a,22814441,138570,16074,0.11599913401169085,2
0xda4b583a8b6d47a9057bef2e3e11443d76dece1c1a7d21d54d1da54848734702,22816307,163324,16074,0.09841786877617496,2
0xf1adf4a62bb7e9b93cacb95f695c37c3f839e129619ddbd8d3d599e35a7633f5,22836274,135727,16074,0.11842890508152394,2
0xef7e6ae7ff94df0e15e7fcb5faa7ec5deb24dfc2c4a712cf35b851e40d7a24f0,22836920,130848,16074,0.12284482758620689,2
0xec52b2a2510597b31a1a30195546ae583f81a208a32417d21a9c8ec216bd9a2c,22837210,151962,16074,0.10577644411102775,2
0x60abfc54461c0bdce9959c0bc2ebca645468da88ba904a9937ad7b3371f83d6a,22838846,138570,16074,0.11599913401169085,2
0x1379a429d7abf2b3de576f71cdca8c8a70b06f25b7a1ecd27027218b7f22c531,22841416,138582,16074,0.11598908949214183,2
0x39e3dd067f08ea5a055ad1d32e74e0258fdce2180eba98bf65253ef81f65929d,22841922,138558,16074,0.11600918027107782,2
0xb8d9963d2737c0ceae43a65800e718b1e711b335379169ac0f6499c395883a52,22844177,152927,16074,0.10510897356254945,2
0x62ecb16b38bc71b5ec09eb4556a9ef7b72b54f0d65e56e682292b5eeac6d8c86,22846292,138570,16074,0.11599913401169085,2
0xe9a1d03f48a126a1c05934b1cb37441335f17b7950e785aa765a1f53a8887989,22846693,138570,16074,0.11599913401169085,2
0x7994db3bb28d3560e600da52281130651f135444b62f57d0c545d26ad95c9091,22847046,138558,16074,0.11600918027107782,2
0x702481ac925c82135084edd5b70f5b383f282b24abaa36587baaf50b90a6b3ad,22855801,147166,16074,0.10922359784189282,2
0x517b64b0ae0435d31e7e84f5254faff92a57c634e6388ebf0e0a627f8bd808ae,22857535,134012,16074,0.11994448258364923,2
0xc3e70d059186fd9895f8223ecc1e976f0f2bf2b3bb7665dc9991d05c3e84abb2,22858155,207859,16074,0.0773312678305967,2
0x0b9f0e7f2f7c9974f8e511817893514067c2686367f1a72c909e0dbfe075d758,22858417,118408,16074,0.13575096277278562,2
0x49706555f93c4aa162f2d0bc291566a9e2b90023ed458e0b6e591cbd2e29332c,22858452,151124,16074,0.10636298668642968,2
0x9c4c2d07672f7b9dc9bbb1c351ece2e35e95bf168d0f3c679a336ce93647dd09,22858484,188747,16074,0.08516161846281001,2
0xf941ea94c3be4f70bc57cda6bfa8647c9658fe9d04d7567b19fda83c3fc083d9,22858506,129929,16074,0.12371372057046541,2
